District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Community Day Charter Public School - Prospect (District),04400000,234,58.5,98,24.5,50,12.5,311,77.8,,,,,351,87.8,,
Community Day Charter Public School - R. Kingman Webster (District),04310000,182,46.2,79,20.1,48,12.2,301,76.4,,,,,331,84,,
Concord,00670000,159,8,38,1.9,329,16.3,197,9.9,,,,,518,25.7,,
Concord-Carlisle,06400000,76,5.7,8,0.6,248,18.3,123,9.3,,,,,334,24.7,,
Conservatory Lab Charter (District),04390000,90,20.1,78,17.4,58,13,318,71.1,,,,,356,79.6,,
Conway,00680000,0,0,0,0,20,13.8,45,31,,,,,55,37.9,,
Danvers,00710000,165,5.1,53,1.6,647,19.8,860,26.7,,,,,1331,40.7,,
Dartmouth,00720000,104,3,58,1.7,629,18.2,1125,33,,,,,1518,43.9,,
Dedham,00730000,360,14,139,5.4,570,21.9,765,29.8,,,,,1167,44.8,,
Deerfield,00740000,6,1.8,5,1.5,54,16.6,73,22.4,,,,,102,31.3,,
Dennis-Yarmouth,06450000,588,21,362,13,525,18.6,1665,59.6,,,,,1929,68.3,,
Dighton-Rehoboth,06500000,42,1.6,12,0.5,456,17.7,604,23.5,,,,,896,34.7,,
Douglas,00770000,16,1.4,11,0.9,212,17.8,303,25.7,,,,,449,37.7,,
Dover,00780000,34,7,8,1.6,63,12.9,20,4.1,,,,,98,20,,
Dover-Sherborn,06550000,72,6.2,4,0.3,210,17.6,67,5.8,,,,,272,22.9,,
Dracut,00790000,203,5.6,113,3.1,563,15.4,1380,38,,,,,1749,47.7,,
Dudley Street Neighborhood Charter School (District),04070000,118,41.3,104,36.4,40,14,237,82.9,,,,,254,88.8,,
Dudley-Charlton Reg,06580000,274,7.9,107,3.1,617,17.7,1187,34.4,,,,,1571,45.1,,
Duxbury,00820000,68,2.4,13,0.5,367,12.9,253,9,,,,,582,20.5,,
East Bridgewater,00830000,48,2.3,35,1.7,383,18,603,28.6,,,,,861,40.5,,
East Longmeadow,00870000,167,6.7,31,1.2,484,19.1,688,27.6,,,,,1012,40,,
Eastham,00850000,17,8.9,10,5.2,29,15.1,106,55.2,,,,,119,62,,
Easthampton,00860000,92,6.5,45,3.2,323,22.5,582,41.1,,,,,736,51.3,,
Easton,00880000,219,6.4,62,1.8,663,19.2,695,20.3,,,,,1194,34.6,,
Edgartown,00890000,157,39.5,91,22.9,89,22.4,198,49.9,,,,,267,67.1,,
